,glcm_mean,glcm_variance,glcm_autoCorrelation,glcm_cProminence,glcm_cShade,glcm_cTendency,glcm_contrast,glcm_correlation,glcm_differenceEntropy,glcm_dissimilarity,glcm_energy,glcm_entropy,glcm_homogeneity1,glcm_homogeneity2,glcm_IDMN,glcm_IDN,glcm_inverseVariance,glcm_maxProb,glcm_sumAverage,glcm_sumEntropy,glcm_sumVariance
image 77,-2.01025662,-0.977713096,-1.611946154,-0.56785674,0.266987574,-0.950628869,-0.755023526,0.434907129,-1.408934237,-1.173591123,0.176800945,-1.297865212,1.396549717,1.396048537,0.660205388,1.026843681,-1.020396023,0.208428012,-1.716320081,-0.766953818,-1.485241809
image 78,-0.731535114,-0.190962139,-0.752420191,-0.251012894,0.424316791,-0.17961153,-0.316483459,0.367033252,0.187458667,0.046776567,-0.42759608,0.598836542,-0.513831391,-0.484451834,0.335491095,-0.081055855,1.155424554,-0.641687189,-0.461794649,0.657671132,-0.671668695
image 79,-0.751508271,-0.208986772,-0.767498754,-0.267330491,0.355379109,-0.187428743,-0.6011369,0.595588608,-0.372655587,-0.609694757,-0.334602117,0.141512101,0.449803148,0.468831497,0.637796579,0.621831636,0.154001781,-0.407683353,-0.482775854,0.569929332,-0.685267788
image 80,0.680033156,0.083359722,0.754748106,0.119963187,-0.487311959,0.095865646,-0.34878247,0.482236175,0.137363913,-0.145806374,-0.280448139,0.193860005,-0.134648389,-0.107790916,0.370526411,0.135577586,0.685730383,-0.046310341,0.920640817,0.328924741,0.884987939
image 81,-1.449382244,-0.786813383,-1.338606166,-0.410821831,0.453013224,-0.774970718,-0.330031372,-0.204972786,-0.469063841,-0.626925862,0.390080037,-0.84690618,0.909834388,0.893174688,0.369693809,0.692852448,-1.024860594,0.797880712,-1.164826414,-0.611331831,-1.207499839
image 82,-1.719604753,-1.164159925,-1.535475718,-0.581728483,0.316220918,-1.133848803,-0.844958837,0.498928537,-2.150996034,-1.448109824,1.493275371,-2.258133112,1.964263607,1.90228874,0.886040772,1.512158879,-2.389077353,1.664390887,-1.432442457,-1.84064347,-1.375854322
image 83,1.047745789,0.863296986,1.395690986,0.95490938,-1.118338601,0.865193221,-0.05313362,0.487787125,0.559110025,0.243751751,-0.311278523,0.484944419,-0.371913218,-0.376830126,0.055894738,-0.254600027,0.221940641,-0.067044858,1.259460381,0.572499338,1.506456611
image 84,-1.565266106,0.137126905,-1.224391249,0.374311346,1.105885077,0.132808552,0.120387662,0.203618836,0.440041641,0.146108821,-0.276046322,0.189250563,-0.167492076,-0.140988007,-0.09261965,-0.115343136,0.42409506,-0.089260412,-1.278318595,0.193815054,-1.107497256
image 85,1.677284759,0.426881515,2.275371395,1.06061233,-1.197829185,0.452490069,-0.714281612,0.74012695,-0.763478379,-0.86072831,0.648456187,-0.871457864,0.786640426,0.80020349,0.759331805,0.889219565,-0.177301094,1.396219633,1.860383615,-0.454482462,2.513757961
image 86,-0.029771978,0.161941656,-0.047909078,-0.027650697,0.606221389,0.175552143,-0.379608882,0.520117453,0.125250134,-0.129588863,-0.391808763,0.383384237,-0.217609282,-0.193799938,0.401650443,0.110810222,0.781929477,-0.545419788,-0.010279115,0.359804553,-0.175476745
